,standard_dGr_prime,SD
ASPTAm,3.815517366724869,0.4216936528682709
ATP1ter,-6.10351571594947e-06,4.995943163521588e-05
ATP2ter,-4.882812390860636e-06,4.858337706536986e-05
ATPasel,-33.907166442228366,0.378083199262619
ATPH1e,-50.54438413993387,0.7428144812583923
ATPH2e,-24.857467464240326,0.3786727488040924
ATPtm,-14.948593001217972,1.2145844266342465e-05
ATPtn,2.441406195430318e-06,2.429168853268493e-05
ATPtx,-19.097139750963034,2.429168853268493e-05
AVITE2t,-50.20315859534482,1.7263348127016798e-05
B_MANNASEly,-13.959113500371629,0.7967758774757385
B3GALT3g,-45.46927949869445,8.741494178771973
B3GALT41g,-18.375806419145817,1.4726252555847168
B3GALT42g,-18.37581307406373,1.472636342048645
B3GALT43g,-18.375810660447314,1.4726440906524658
B3GALT44g,,
B3GALT5g,-18.375800666833584,1.4726366996765137
B3GALTg,-18.375800289351105,1.4726296663284302
B3GNT11g,-45.469269528019595,8.741548538208008
B3GNT12g,,
B3GNT310g,-16.400838461660896,1.1240553855895996
B3GNT311g,-16.40085135910516,1.1240497827529907
B3GNT312g,,
B3GNT313g,,
B3GNT314g,-16.400831643008587,1.1240578889846802
B3GNT315g,,
B3GNT31g,,
B3GNT32g,,
B3GNT33g,,
B3GNT34g,,
B3GNT35g,,
B3GNT36g,,
B3GNT37g,,
B3GNT39g,,
B3GNT51g,,
BAAT1x,-2.788351535797119,7.27301025390625
BAAT2x,-5.372177600860596,7.349064826965332
BAAT3x,-2.788348436355591,7.273006439208984
BAAT4x,-2.7883472442626953,7.273001670837402
BACCL,15.85112968329127,3.778240919113159
BACCLm,13.906764574639055,3.778242588043213
BALAtmr,31.93893419206882,1.3029075489612296e-05
BALAVECSEC,-18.055492326636084,0.37808310985565186
BAMPPALDOX,-41.77427247014147,41.73235321044922
BAMPPALDOXm,-41.73809779920637,41.73235321044922
BBHOX,-460.4625110328323,3.8123252391815186
BCDO,-385.11422729490823,6.865001201629639
BDG2HCGHD,-1.0609063884255292,7.101241588592529
BDHm,11.379173088768667,0.896029531955719
BDMT_L,,
BDMT_U,,
BETALDHxm,-31.87136365793451,7.251916885375977
BHBt,-9.129381381360682,1.5182304196059704e-06
BHBtm,36.51500262578977,3.40855535796436e-06
BHMT,-96.18778563076471,33.69255828857422
BILDGLCURt,-50.80245951161922,2.1112342437845655e-05
BILDGLCURte,23.06779850007078,0.37808501720428467
BILDGLCURtr,-1.983642505365424e-06,2.7180778488400392e-05
BILGLCURt,-41.68216910364404,1.8950408048112877e-05
BILGLCURte,13.94750580327738,0.3780832886695862
BILGLCURtr,-6.103515488575795e-07,1.8300370356882922e-05
BILIRED,-135.492454340726,21.301286697387695
BILIRUBt2,-32.55723910521444,2.1107929569552653e-05
BILIRUBtr,0.0,1.7263348127016798e-05
