,transformed standard dGr,SD
357,0.0,0.0
358,0.0,0.0
359,-80.96425705441598,3.3205389595871595
360,0.0,0.0
361,13.73606836369254,0.0
362,0.0,0.0
363,-31.16570829304624,1.916489976979364
364,8.54408982151665,4.907252931191538
365,-13.736116172247309,0.0
366,0.0,0.0
367,,
368,,
369,11.254728341468308,0.3042778553577672
370,0.0,0.0
371,-34.22967506944224,0.0
372,0.0,0.0
373,-13.691870206060912,0.0
374,-11.716026248722583,3.088253269746168
375,-36.37542326467883,8.35157954464622
376,-3.743419325974856,2.979609924099499
377,-18.255826703702496,0.0
378,,
379,,
380,,
381,,
382,-18.255826703702496,0.0
383,-92.51914534157773,4.578266391334068
384,-104.71347638781072,0.0
385,-11.409675470114736,0.0
386,-13.943779612799348,1.4680681484015785
387,-79.87892038602058,0.0
388,,
389,,
390,,
391,-70.75123253176889,0.0
392,-35.37264343620291,0.0
393,0.0,0.0
394,-44.50124581115461,0.0
395,0.9557285905378876,6.149141525688786
396,0.0088783088683612,0.0
397,-33.85190357837371,6.308889659545065
398,3.8843283772633863,1.4659353769694163
399,-17.210755231198846,0.0
400,68.3078526216658,0.0
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
